contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,flag,Price,maturity_years
SPXW220811C01000000,2022-08-04 20:12:49+00:00,1000.0,3149.26,3215.5,3217.4,0.0,0.0,2.0,0.0,12.464845959472658,1.0,REGULAR,USD,2022-08-11,call,3216.45,0.0
SPXW220811C01200000,2022-08-04 20:12:49+00:00,1200.0,2949.36,3015.5,3017.4,0.0,0.0,0.0,0.0,10.936038321228029,1.0,REGULAR,USD,2022-08-11,call,3016.45,0.0
SPXW220811C01400000,2022-08-04 20:14:46+00:00,1400.0,2749.33,2815.5,2817.3,0.0,0.0,1.0,0.0,9.644535222167967,1.0,REGULAR,USD,2022-08-11,call,2816.4,0.0
SPXW220811C01600000,2022-08-04 20:14:46+00:00,1600.0,2549.41,2615.5,2617.3,0.0,0.0,1.0,0.0,8.542729270172119,1.0,REGULAR,USD,2022-08-11,call,2616.4,0.0
SPXW220811C01800000,2022-07-28 12:36:22+00:00,1800.0,2211.49,2415.5,2417.3,0.0,0.0,0.0,0.0,7.57397514190674,1.0,REGULAR,USD,2022-08-11,call,2416.4,0.0
SPXW220811C02000000,2022-07-29 06:55:31+00:00,2000.0,2100.13,2215.5,2217.3,0.0,0.0,1.0,0.0,6.708009427490234,1.0,REGULAR,USD,2022-08-11,call,2216.4,0.0
SPXW220811C02200000,2022-07-28 13:36:37+00:00,2200.0,1834.08,2015.5,2017.3,0.0,0.0,0.0,0.0,5.923830720214844,1.0,REGULAR,USD,2022-08-11,call,2016.4,0.0
SPXW220811C03000000,2022-07-28 12:33:06+00:00,3000.0,1001.52,1215.5,1217.3,0.0,0.0,0.0,0.0,3.337159860229491,1.0,REGULAR,USD,2022-08-11,call,1216.4,0.0
SPXW220811C03100000,2022-07-29 13:07:27+00:00,3100.0,983.05,1115.5,1117.4,0.0,0.0,1.0,0.0,3.0610375036621096,1.0,REGULAR,USD,2022-08-11,call,1116.45,0.0
SPXW220811C03300000,2022-07-28 12:43:09+00:00,3300.0,714.79,915.5,917.4,0.0,0.0,0.0,0.0,2.519046671142578,1.0,REGULAR,USD,2022-08-11,call,916.45,0.0
SPXW220811C03400000,2022-08-05 17:27:29+00:00,3400.0,740.98,815.5,817.3,0.0,0.0,60.0,0.0,2.252689915161133,1.0,REGULAR,USD,2022-08-11,call,816.4,0.0
SPXW220811C03600000,2022-07-29 14:27:37+00:00,3600.0,519.77,615.5,617.3,0.0,0.0,1.0,0.0,1.7387708374023436,1.0,REGULAR,USD,2022-08-11,call,616.4,0.0
SPXW220811C03720000,2022-07-28 18:03:13+00:00,3720.0,354.53,495.5,497.3,0.0,0.0,0.0,0.0,1.4350614184570314,1.0,REGULAR,USD,2022-08-11,call,496.4,0.0
SPXW220811C03725000,2022-07-28 14:09:31+00:00,3725.0,281.24,490.5,492.3,0.0,0.0,0.0,0.0,1.4223661694335936,1.0,REGULAR,USD,2022-08-11,call,491.4,0.0
SPXW220811C03730000,2022-07-28 13:36:39+00:00,3730.0,311.5,485.5,487.3,0.0,0.0,0.0,0.0,1.4097929901123047,1.0,REGULAR,USD,2022-08-11,call,486.4,0.0
SPXW220811C03740000,2022-07-28 13:34:13+00:00,3740.0,299.8,475.5,477.3,0.0,0.0,0.0,0.0,1.384524561767578,1.0,REGULAR,USD,2022-08-11,call,476.4,0.0
SPXW220811C03750000,2022-07-29 14:26:20+00:00,3750.0,367.34,465.5,467.4,0.0,0.0,2.0,0.0,1.3615144229125975,1.0,REGULAR,USD,2022-08-11,call,466.45,0.0
SPXW220811C03760000,2022-07-28 13:10:08+00:00,3760.0,266.34,455.6,457.4,0.0,0.0,0.0,0.0,1.3384432492065423,1.0,REGULAR,USD,2022-08-11,call,456.5,0.0
SPXW220811C03770000,2022-07-28 13:12:57+00:00,3770.0,260.59,445.6,447.4,0.0,0.0,0.0,0.0,1.313113786010742,1.0,REGULAR,USD,2022-08-11,call,446.5,0.0
SPXW220811C03775000,2022-07-28 13:14:05+00:00,3775.0,256.69,440.6,442.4,0.0,0.0,0.0,0.0,1.3004185369873043,1.0,REGULAR,USD,2022-08-11,call,441.5,0.0
SPXW220811C03780000,2022-07-28 18:26:11+00:00,3780.0,294.86,435.6,437.4,0.0,0.0,0.0,0.0,1.2877843228149413,1.0,REGULAR,USD,2022-08-11,call,436.5,0.0
SPXW220811C03830000,2022-08-03 20:00:06+00:00,3830.0,323.93,385.5,387.4,0.0,0.0,1.0,0.0,1.1588787173461914,1.0,REGULAR,USD,2022-08-11,call,386.45,0.0
SPXW220811C03835000,2022-07-28 13:47:07+00:00,3835.0,189.92,380.6,382.6,0.0,0.0,0.0,0.0,1.1521648837280272,1.0,REGULAR,USD,2022-08-11,call,381.6,0.0
SPXW220811C03840000,2022-07-28 06:59:33+00:00,3840.0,195.02,374.9,376.7,0.0,0.0,0.0,0.0,1.1069380590820312,1.0,REGULAR,USD,2022-08-11,call,375.79999999999995,0.0
SPXW220811C03850000,2022-08-10 13:35:05+00:00,3850.0,338.18,365.6,367.6,0.0,0.0,1.0,0.0,1.1138960321044922,1.0,REGULAR,USD,2022-08-11,call,366.6,0.0
SPXW220811C03855000,2022-07-28 17:24:04+00:00,3855.0,216.97,360.6,362.6,0.0,0.0,0.0,0.0,1.1010787133789064,1.0,REGULAR,USD,2022-08-11,call,361.6,0.0
SPXW220811C03860000,2022-08-10 13:35:05+00:00,3860.0,328.13,355.6,357.6,0.0,0.0,1.0,0.0,1.0883224295043945,1.0,REGULAR,USD,2022-08-11,call,356.6,0.0
SPXW220811C03870000,2022-08-10 16:18:42+00:00,3870.0,328.24,345.5,347.4,0.0,0.0,1.0,0.0,1.0570725857543946,1.0,REGULAR,USD,2022-08-11,call,346.45,0.0
SPXW220811C03875000,2022-08-01 19:48:50+00:00,3875.0,252.52,339.9,341.7,0.0,0.0,0.0,0.0,1.019230978088379,1.0,REGULAR,USD,2022-08-11,call,340.79999999999995,0.0
SPXW220811C03890000,2022-07-27 18:58:00+00:00,3890.0,150.39,325.6,327.6,0.0,0.0,0.0,0.0,1.011418517150879,1.0,REGULAR,USD,2022-08-11,call,326.6,0.0
SPXW220811C03900000,2022-08-10 13:59:34+00:00,3900.0,291.82,315.5,317.4,0.0,0.0,9.0,0.0,0.9803468762207033,1.0,REGULAR,USD,2022-08-11,call,316.45,0.0
SPXW220811C03910000,2022-08-10 19:27:32+00:00,3910.0,293.02,305.5,307.4,0.0,0.0,26.0,0.0,0.9546513323974608,1.0,REGULAR,USD,2022-08-11,call,306.45,0.0
SPXW220811C03915000,2022-08-08 19:43:32+00:00,3915.0,227.1,300.5,302.4,0.0,0.0,0.0,0.0,0.9417730432128906,1.0,REGULAR,USD,2022-08-11,call,301.45,0.0
SPXW220811C03920000,2022-08-10 18:52:11+00:00,3920.0,277.75,295.5,297.4,0.0,0.0,13.0,0.0,0.9289557885742188,1.0,REGULAR,USD,2022-08-11,call,296.45,0.0
SPXW220811C03925000,2022-08-10 20:12:28+00:00,3925.0,282.1,290.5,292.4,0.0,0.0,2.0,0.0,0.9160164648437501,1.0,REGULAR,USD,2022-08-11,call,291.45,0.0
SPXW220811C03930000,2022-08-10 14:00:41+00:00,3930.0,259.87,285.5,287.4,0.0,0.0,1.0,0.0,0.9031381756591796,1.0,REGULAR,USD,2022-08-11,call,286.45,0.0
SPXW220811C03935000,2022-08-09 19:55:34+00:00,3935.0,185.23,280.5,282.4,0.0,0.0,2.0,0.0,0.8901988519287107,1.0,REGULAR,USD,2022-08-11,call,281.45,0.0
SPXW220811C03940000,2022-08-10 18:58:22+00:00,3940.0,255.39,275.6,277.6,0.0,0.0,16.0,0.0,0.8822643609619141,1.0,REGULAR,USD,2022-08-11,call,276.6,0.0
SPXW220811C03945000,2022-07-29 16:52:56+00:00,3945.0,183.29,270.5,272.4,0.0,0.0,5.0,0.0,0.8643202044677734,1.0,REGULAR,USD,2022-08-11,call,271.45,0.0
SPXW220811C03950000,2022-08-10 18:58:22+00:00,3950.0,245.32,265.7,267.6,0.0,0.0,5.0,0.0,0.8578505426025391,1.0,REGULAR,USD,2022-08-11,call,266.65,0.0
SPXW220811C03955000,2022-08-10 13:46:03+00:00,3955.0,239.1,260.5,262.4,0.0,0.0,2.0,0.0,0.8383194879150391,1.0,REGULAR,USD,2022-08-11,call,261.45,0.0
SPXW220811C03960000,2022-07-27 14:09:43+00:00,3960.0,71.1,255.5,257.4,0.0,0.0,0.0,0.0,0.8253191296386717,1.0,REGULAR,USD,2022-08-11,call,256.45,0.0
SPXW220811C03965000,2022-08-10 13:45:14+00:00,3965.0,230.55,250.5,252.4,0.0,0.0,4.0,0.0,0.8122577368164061,1.0,REGULAR,USD,2022-08-11,call,251.45,0.0
SPXW220811C03970000,2022-08-05 17:27:29+00:00,3970.0,174.21,245.5,247.4,0.0,0.0,22.0,0.0,0.7991963439941407,1.0,REGULAR,USD,2022-08-11,call,246.45,0.0
SPXW220811C03975000,2022-08-09 19:50:08+00:00,3975.0,149.79,240.5,242.4,0.0,0.0,1.0,0.0,0.7861349511718749,1.0,REGULAR,USD,2022-08-11,call,241.45,0.0
SPXW220811C03980000,2022-08-10 17:54:33+00:00,3980.0,226.74,235.5,237.4,0.0,0.0,9.0,0.0,0.7730125238037109,1.0,REGULAR,USD,2022-08-11,call,236.45,0.0
SPXW220811C03990000,2022-08-10 17:54:33+00:00,3990.0,216.76,225.5,227.5,0.0,0.0,12.0,0.0,0.7482324981689454,1.0,REGULAR,USD,2022-08-11,call,226.5,0.0
SPXW220811C03995000,2022-08-10 17:55:24+00:00,3995.0,211.06,220.5,222.5,0.0,0.0,1.0,0.0,0.7349880017089843,1.0,REGULAR,USD,2022-08-11,call,221.5,0.0
SPXW220811C04000000,2022-08-10 19:15:16+00:00,4000.0,197.5,215.5,217.5,0.0,0.0,165.0,0.0,0.7217435052490235,1.0,REGULAR,USD,2022-08-11,call,216.5,0.0
SPXW220811C04005000,2022-08-10 20:08:47+00:00,4005.0,201.45,210.5,212.5,0.0,0.0,7.0,0.0,0.7084990087890625,1.0,REGULAR,USD,2022-08-11,call,211.5,0.0
SPXW220811C04010000,2022-08-10 20:08:47+00:00,4010.0,196.35,205.5,207.5,0.0,0.0,4.0,0.0,0.6951934777832032,1.0,REGULAR,USD,2022-08-11,call,206.5,0.0
