grad_clip,lr_schedule,n_epochs,n_h_layers,n_neurones,patience,valid_loss_Net_D_W,valid_loss_Net_D_W_es,valid_loss_Net_D_gc,valid_loss_Net_D_gc_es
0.5,0.1,30,4,30,5,0.4980566203594208,0.4980566203594208,0.0612960271537303,0.1041348204016685
0.5,0.01,30,4,30,5,0.0440466664731502,0.0440466664731502,0.0475605614483356,0.0486627593636512
0.5,0.001,30,4,30,5,0.2862844169139862,0.2862844169139862,0.1952139288187027,0.1952139288187027
0.5,0.0001,30,4,30,5,0.6793590784072876,0.6793590784072876,0.5881875157356262,0.5881875157356262
0.5,2e-05,30,4,30,5,4.37322473526001,4.37322473526001,0.9478024244308472,0.9478024244308472
0.5,5e-05,30,4,30,5,1.968671202659607,1.968671202659607,0.8176721930503845,0.8176721930503845
0.5,1e-06,30,4,30,5,5.119459629058838,5.119459629058838,0.9974997639656068,0.9974997639656068
0.5,1e-08,30,4,30,5,5.1511101722717285,5.1511101722717285,0.9994146823883056,0.9994146823883056
1.0,0.1,30,4,30,5,0.4980566203594208,0.4980566203594208,0.0630872026085853,0.1382634788751602
1.0,0.01,30,4,30,5,0.0440466664731502,0.0440466664731502,0.0323148742318153,0.0323148742318153
1.0,0.001,30,4,30,5,0.2862844169139862,0.2862844169139862,0.2090761810541153,0.2090761810541153
1.0,0.0001,30,4,30,5,0.6793590784072876,0.6793590784072876,0.632445752620697,0.632445752620697
1.0,2e-05,30,4,30,5,4.37322473526001,4.37322473526001,0.9537187218666076,0.9537187218666076
1.0,5e-05,30,4,30,5,1.968671202659607,1.968671202659607,0.8359507322311401,0.8359507322311401
1.0,1e-06,30,4,30,5,5.119459629058838,5.119459629058838,0.99763423204422,0.99763423204422
1.0,1e-08,30,4,30,5,5.1511101722717285,5.1511101722717285,0.9994165897369384,0.9994165897369384
2.0,0.1,30,4,30,5,0.4980566203594208,0.4980566203594208,0.0509395748376846,0.0591342523694038
2.0,0.01,30,4,30,5,0.0440466664731502,0.0440466664731502,0.0313124619424343,0.0313124619424343
2.0,0.001,30,4,30,5,0.2862844169139862,0.2862844169139862,0.2175169736146927,0.2175169736146927
2.0,0.0001,30,4,30,5,0.6793590784072876,0.6793590784072876,0.6400050520896912,0.6400050520896912
2.0,2e-05,30,4,30,5,4.37322473526001,4.37322473526001,0.95549076795578,0.95549076795578
2.0,5e-05,30,4,30,5,1.968671202659607,1.968671202659607,0.8403404355049133,0.8403404355049133
2.0,1e-06,30,4,30,5,5.119459629058838,5.119459629058838,0.9976900219917296,0.9976900219917296
2.0,1e-08,30,4,30,5,5.1511101722717285,5.1511101722717285,0.9994173049926758,0.9994173049926758
4.0,0.1,30,4,30,5,0.4980566203594208,0.4980566203594208,0.06175547093153,0.06175547093153
4.0,0.01,30,4,30,5,0.0440466664731502,0.0440466664731502,0.0382929109036922,0.0382929109036922
4.0,0.001,30,4,30,5,0.2862844169139862,0.2862844169139862,0.2175169736146927,0.2175169736146927
4.0,0.0001,30,4,30,5,0.6793590784072876,0.6793590784072876,0.6400050520896912,0.6400050520896912
4.0,2e-05,30,4,30,5,4.37322473526001,4.37322473526001,0.95549076795578,0.95549076795578
4.0,5e-05,30,4,30,5,1.968671202659607,1.968671202659607,0.8403404355049133,0.8403404355049133
4.0,1e-06,30,4,30,5,5.119459629058838,5.119459629058838,0.9976900219917296,0.9976900219917296
4.0,1e-08,30,4,30,5,5.1511101722717285,5.1511101722717285,0.9994173049926758,0.9994173049926758
0.5,0.1,30,4,30,10,0.4980566203594208,0.4980566203594208,0.0612960271537303,0.0612960271537303
0.5,0.01,30,4,30,10,0.0440466664731502,0.0440466664731502,0.0475605614483356,0.0475605614483356
0.5,0.001,30,4,30,10,0.2862844169139862,0.2862844169139862,0.1952139288187027,0.1952139288187027
0.5,0.0001,30,4,30,10,0.6793590784072876,0.6793590784072876,0.5881875157356262,0.5881875157356262
0.5,2e-05,30,4,30,10,4.37322473526001,4.37322473526001,0.9478024244308472,0.9478024244308472
0.5,5e-05,30,4,30,10,1.968671202659607,1.968671202659607,0.8176721930503845,0.8176721930503845
0.5,1e-06,30,4,30,10,5.119459629058838,5.119459629058838,0.9974997639656068,0.9974997639656068
0.5,1e-08,30,4,30,10,5.1511101722717285,5.1511101722717285,0.9994146823883056,0.9994146823883056
1.0,0.1,30,4,30,10,0.4980566203594208,0.4980566203594208,0.0630872026085853,0.0630872026085853
1.0,0.01,30,4,30,10,0.0440466664731502,0.0440466664731502,0.0323148742318153,0.0323148742318153
1.0,0.001,30,4,30,10,0.2862844169139862,0.2862844169139862,0.2090761810541153,0.2090761810541153
1.0,0.0001,30,4,30,10,0.6793590784072876,0.6793590784072876,0.632445752620697,0.632445752620697
1.0,2e-05,30,4,30,10,4.37322473526001,4.37322473526001,0.9537187218666076,0.9537187218666076
1.0,5e-05,30,4,30,10,1.968671202659607,1.968671202659607,0.8359507322311401,0.8359507322311401
1.0,1e-06,30,4,30,10,5.119459629058838,5.119459629058838,0.99763423204422,0.99763423204422
1.0,1e-08,30,4,30,10,5.1511101722717285,5.1511101722717285,0.9994165897369384,0.9994165897369384
2.0,0.1,30,4,30,10,0.4980566203594208,0.4980566203594208,0.0509395748376846,0.0509395748376846
2.0,0.01,30,4,30,10,0.0440466664731502,0.0440466664731502,0.0313124619424343,0.0313124619424343
2.0,0.001,30,4,30,10,0.2862844169139862,0.2862844169139862,0.2175169736146927,0.2175169736146927
2.0,0.0001,30,4,30,10,0.6793590784072876,0.6793590784072876,0.6400050520896912,0.6400050520896912
2.0,2e-05,30,4,30,10,4.37322473526001,4.37322473526001,0.95549076795578,0.95549076795578
2.0,5e-05,30,4,30,10,1.968671202659607,1.968671202659607,0.8403404355049133,0.8403404355049133
2.0,1e-06,30,4,30,10,5.119459629058838,5.119459629058838,0.9976900219917296,0.9976900219917296
2.0,1e-08,30,4,30,10,5.1511101722717285,5.1511101722717285,0.9994173049926758,0.9994173049926758
4.0,0.1,30,4,30,10,0.4980566203594208,0.4980566203594208,0.06175547093153,0.06175547093153
4.0,0.01,30,4,30,10,0.0440466664731502,0.0440466664731502,0.0382929109036922,0.0382929109036922
4.0,0.001,30,4,30,10,0.2862844169139862,0.2862844169139862,0.2175169736146927,0.2175169736146927
4.0,0.0001,30,4,30,10,0.6793590784072876,0.6793590784072876,0.6400050520896912,0.6400050520896912
4.0,2e-05,30,4,30,10,4.37322473526001,4.37322473526001,0.95549076795578,0.95549076795578
4.0,5e-05,30,4,30,10,1.968671202659607,1.968671202659607,0.8403404355049133,0.8403404355049133
4.0,1e-06,30,4,30,10,5.119459629058838,5.119459629058838,0.9976900219917296,0.9976900219917296
4.0,1e-08,30,4,30,10,5.1511101722717285,5.1511101722717285,0.9994173049926758,0.9994173049926758
0.5,0.1,30,4,30,15,0.4980566203594208,0.4980566203594208,0.0612960271537303,0.0612960271537303
0.5,0.01,30,4,30,15,0.0440466664731502,0.0440466664731502,0.0475605614483356,0.0475605614483356
0.5,0.001,30,4,30,15,0.2862844169139862,0.2862844169139862,0.1952139288187027,0.1952139288187027
0.5,0.0001,30,4,30,15,0.6793590784072876,0.6793590784072876,0.5881875157356262,0.5881875157356262
0.5,2e-05,30,4,30,15,4.37322473526001,4.37322473526001,0.9478024244308472,0.9478024244308472
0.5,5e-05,30,4,30,15,1.968671202659607,1.968671202659607,0.8176721930503845,0.8176721930503845
0.5,1e-06,30,4,30,15,5.119459629058838,5.119459629058838,0.9974997639656068,0.9974997639656068
0.5,1e-08,30,4,30,15,5.1511101722717285,5.1511101722717285,0.9994146823883056,0.9994146823883056
1.0,0.1,30,4,30,15,0.4980566203594208,0.4980566203594208,0.0630872026085853,0.0630872026085853
1.0,0.01,30,4,30,15,0.0440466664731502,0.0440466664731502,0.0323148742318153,0.0323148742318153
1.0,0.001,30,4,30,15,0.2862844169139862,0.2862844169139862,0.2090761810541153,0.2090761810541153
