grad_clip,n_epochs,n_h_layers,n_neurones,patience,valid_loss_Net_D_W,valid_loss_Net_D_W_es,valid_loss_Net_D_gc,valid_loss_Net_D_gc_es
0.5,30,4,30,5,0.02115136757493019,0.12475088983774185,0.013203331269323826,0.03075471892952919
1,30,4,30,5,0.02115136757493019,0.12475088983774185,0.01441510021686554,0.1405988484621048
2,30,4,30,5,0.02115136757493019,0.12475088983774185,0.015362639911472797,0.015362639911472797
4,30,4,30,5,0.02115136757493019,0.12475088983774185,0.01694655790925026,0.01694655790925026
0.5,30,4,30,10,0.02115136757493019,0.12475088983774185,0.013203331269323826,0.013203331269323826
1,30,4,30,10,0.02115136757493019,0.12475088983774185,0.01441510021686554,0.01441510021686554
2,30,4,30,10,0.02115136757493019,0.12475088983774185,0.015362639911472797,0.015362639911472797
4,30,4,30,10,0.02115136757493019,0.12475088983774185,0.01694655790925026,0.01694655790925026
0.5,30,4,30,15,0.02115136757493019,0.02115136757493019,0.013203331269323826,0.013203331269323826
1,30,4,30,15,0.02115136757493019,0.02115136757493019,0.01441510021686554,0.01441510021686554
2,30,4,30,15,0.02115136757493019,0.02115136757493019,0.015362639911472797,0.015362639911472797
4,30,4,30,15,0.02115136757493019,0.02115136757493019,0.01694655790925026,0.01694655790925026
0.5,30,4,30,20,0.02115136757493019,0.02115136757493019,0.013203331269323826,0.013203331269323826
1,30,4,30,20,0.02115136757493019,0.02115136757493019,0.01441510021686554,0.01441510021686554
2,30,4,30,20,0.02115136757493019,0.02115136757493019,0.015362639911472797,0.015362639911472797
4,30,4,30,20,0.02115136757493019,0.02115136757493019,0.01694655790925026,0.01694655790925026
0.5,50,4,30,5,0.013792727142572403,0.12475088983774185,0.009119500406086445,0.03075471892952919
1,50,4,30,5,0.013792727142572403,0.12475088983774185,0.010439039207994938,0.1405988484621048
2,50,4,30,5,0.013792727142572403,0.12475088983774185,0.011084643192589283,0.011251251213252544
4,50,4,30,5,0.013792727142572403,0.12475088983774185,0.01213547307997942,0.01213547307997942
0.5,50,4,30,10,0.013792727142572403,0.12475088983774185,0.009119500406086445,0.009119500406086445
1,50,4,30,10,0.013792727142572403,0.12475088983774185,0.010439039207994938,0.010439039207994938
2,50,4,30,10,0.013792727142572403,0.12475088983774185,0.011084643192589283,0.011084643192589283
4,50,4,30,10,0.013792727142572403,0.12475088983774185,0.01213547307997942,0.01213547307997942
0.5,50,4,30,15,0.013792727142572403,0.013792727142572403,0.009119500406086445,0.009119500406086445
1,50,4,30,15,0.013792727142572403,0.013792727142572403,0.010439039207994938,0.010439039207994938
2,50,4,30,15,0.013792727142572403,0.013792727142572403,0.011084643192589283,0.011084643192589283
4,50,4,30,15,0.013792727142572403,0.013792727142572403,0.01213547307997942,0.01213547307997942
0.5,50,4,30,20,0.013792727142572403,0.013792727142572403,0.009119500406086445,0.009119500406086445
1,50,4,30,20,0.013792727142572403,0.013792727142572403,0.010439039207994938,0.010439039207994938
2,50,4,30,20,0.013792727142572403,0.013792727142572403,0.011084643192589283,0.011084643192589283
4,50,4,30,20,0.013792727142572403,0.013792727142572403,0.01213547307997942,0.01213547307997942
0.5,100,4,30,5,0.013792727142572403,0.12475088983774185,0.009119486436247826,0.03075471892952919
1,100,4,30,5,0.013792727142572403,0.12475088983774185,0.010438953526318073,0.1405988484621048
2,100,4,30,5,0.013792727142572403,0.12475088983774185,0.011084605939686298,0.011251251213252544
4,100,4,30,5,0.013792727142572403,0.12475088983774185,0.01213547307997942,0.01213547307997942
0.5,100,4,30,10,0.013792727142572403,0.12475088983774185,0.009119486436247826,0.009119486436247826
1,100,4,30,10,0.013792727142572403,0.12475088983774185,0.010438953526318073,0.010438953526318073
2,100,4,30,10,0.013792727142572403,0.12475088983774185,0.011084605939686298,0.011084605939686298
4,100,4,30,10,0.013792727142572403,0.12475088983774185,0.01213547307997942,0.01213547307997942
